tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,predictions
570307109704900608,negative,1.0,Cancelled Flight,0.703,United,,CoralReefer420,,0,@united still no refund or word via dm. please resolve this issue as your cancelled flightled flight was useless to my assistant's trip.,,2015-02-24 11:39:45 -0800,"Bay Area, California ",Alaska,0
570307026263384064,negative,1.0,Late Flight,1.0,United,,lsalazarll,,0,@united delayed due to lack of crew and now delayed again because there's a long line for deicing... still need to improve service #united,,2015-02-24 11:39:25 -0800,,Mountain Time (US & Canada),3
570306217001799680,negative,0.3475,Can't Tell,0.3475,United,,samidip,,0,@united your eri-ord express connections are hugely popular .. now if only we could have an eri-ewr hop! :),,2015-02-24 11:36:12 -0800,"Erie, PA",Eastern Time (US & Canada),3
570304912468402177,negative,0.6667,Can't Tell,0.3333,United,,andycheco,,0,@united you think you boarded flight au1066 too early? i think so.,"[19.43706642, -99.07927123]",2015-02-24 11:31:01 -0800,New York,Eastern Time (US & Canada),0
570302023993831425,negative,0.6735,Bad Flight,0.3476,United,,slandail,,0,"@united gate agent hooked me up with alternate flights. if you have a way to prevent the constant issues, that would rock.",,2015-02-24 11:19:32 -0800,"Columbus, Ohio",Eastern Time (US & Canada),2
570299182310944768,negative,1.0,Flight Booking Problems,0.6816,United,,Ashley_Jeffris,,0,@united is the worst. nonrefundable first class tickets? oh because when you select global/fc their system auto selects economy w/upgrade.,,2015-02-24 11:08:15 -0800,Las Vegas ,Eastern Time (US & Canada),1
570298918971576320,negative,1.0,Customer Service Issue,0.66,United,,CheerTymeDad,,1,@united @cheertymedad so i can buy tix 3 days before flight but can't transfer the tix.  flawed security logic. flawed customer service,,2015-02-24 11:07:12 -0800,,,2
570298455068971008,negative,0.6547,Customer Service Issue,0.3331,United,,Nikki62878,,0,"@united i did start a claim but 8-10 weeks is unrealistic, am i really supposed to go that long with out a car seat for my child.ridiculous!",,2015-02-24 11:05:21 -0800,,,5
570298018685165568,negative,1.0,Lost Luggage,0.6886,United,,Nikki62878,,0,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child",,2015-02-24 11:03:37 -0800,,,1
570295795985080320,negative,0.6526,Can't Tell,0.6526,United,,WorstThingsBot,,0,@united @highbuddyyy that totally sucks my cousin worked at phl said @united,,2015-02-24 10:54:48 -0800,,,4
570294205999939584,negative,1.0,Customer Service Issue,0.6703,United,,nydia376,,0,@united beginning of feb i called united they said they would send another voucher by mail. never got anything. #tiredofwaiting,,2015-02-24 10:48:28 -0800,USA,,1
570293957739081728,negative,1.0,Customer Service Issue,1.0,United,,nate2482,,0,"@united the internet is a great thing.  i am emailing executives in your company, maybe they will respond to me in a timely manner.",,2015-02-24 10:47:29 -0800,"Parkersburg, WV",Eastern Time (US & Canada),1
570291813912858625,negative,1.0,Can't Tell,0.7071,United,,Guggero,,0,"@united thats weak. see ya 👋
hey @virginamerica !!",,2015-02-24 10:38:58 -0800,NYC,Eastern Time (US & Canada),4
570291642550386689,negative,1.0,Can't Tell,0.6614,United,,nydia376,,0,@united i flew back w other company since united didnt have an earlier flight,,2015-02-24 10:38:17 -0800,USA,,1
