word,uses,positives,negatives,pos fraction,neg fraction,rel positivity,rel negativity
plus,51,6,37,0.11764705882352941,0.7254901960784313,0.7288840208110328,1.1572430235986308
added,19,5,8,0.2631578947368421,0.42105263157894735,1.6303984676036258,0.6716289525295042
commercials,4,1,3,0.25,0.75,1.5488785442234447,1.1963390716931792
must,32,4,22,0.125,0.6875,0.7744392721117224,1.096644149052081
mean,39,3,27,0.07692307692307693,0.6923076923076923,0.47657801360721375,1.1043129892552423
need,546,17,369,0.031135531135531136,0.6758241758241759,0.1929006245553008,1.0780198228444033
take,261,23,194,0.08812260536398467,0.7432950191570882,0.5459648508373828,1.185643830950073
another,266,26,212,0.09774436090225563,0.7969924812030075,0.6055765736813468,1.271297660145133
really,238,45,178,0.18907563025210083,0.7478991596638656,1.1714207477320169,1.1929879818565037
aggressive,3,0,3,0.0,1.0,0.0,1.5951187622575724
blast,2,0,2,0.0,1.0,0.0,1.5951187622575724
obnoxious,2,0,2,0.0,1.0,0.0,1.5951187622575724
faces,2,0,1,0.0,0.5,0.0,0.7975593811287862
little,67,13,44,0.19402985074626866,0.6567164179104478,1.2021146910390914,1.04754067969154
recourse,3,0,3,0.0,1.0,0.0,1.5951187622575724
big,68,26,37,0.38235294117647056,0.5441176470588235,2.3688730676358563,0.8679322676989731
bad,153,14,133,0.0915032679738562,0.869281045751634,0.5669097939641365,1.3866065057533146
thing,48,6,34,0.125,0.7083333333333334,0.7744392721117224,1.1298757899324472
seriously,26,0,26,0.0,1.0,0.0,1.5951187622575724
would,539,60,360,0.11131725417439703,0.6679035250463822,0.6896676263703649,1.0653854441794546
pay,130,1,109,0.007692307692307693,0.8384615384615385,0.047657801360721376,1.3374457314313493
flight,3217,305,2393,0.09480882810071495,0.7438607398197078,0.5873894385926647,1.1865462225932144
seats,156,10,115,0.0641025641025641,0.7371794871794872,0.39714834467267807,1.1758888311514157
only,329,36,248,0.1094224924012158,0.7537993920972644,0.6779286029427843,1.202399553312699
flying,291,65,152,0.22336769759450173,0.5223367697594502,1.3838777371068578,0.8331891816603127
va,5,0,3,0.0,0.6,0.0,0.9570712573545435
nearly,14,1,12,0.07142857142857142,0.8571428571428571,0.44253672692098417,1.3672446533636333
every,114,15,89,0.13157894736842105,0.7807017543859649,0.8151992338018129,1.2453120161484557
time,553,63,420,0.11392405063291139,0.759493670886076,0.7058180707853672,1.2114826042462576
fly,349,54,226,0.15472779369627507,0.6475644699140402,0.958618239404768,1.0329422357312648
vx,7,2,3,0.2857142857142857,0.42857142857142855,1.7701469076839367,0.6836223266818167
go,264,31,175,0.11742424242424243,0.6628787878787878,0.7275035586504058,1.057370391648012
away,52,9,34,0.17307692307692307,0.6538461538461539,1.072300530616231,1.0429622676299513
missed,128,7,115,0.0546875,0.8984375,0.3388171815488785,1.4331145129657876
prime,3,0,2,0.0,0.6666666666666666,0.0,1.063412508171715
opportunity,9,3,5,0.3333333333333333,0.5555555555555556,2.065171392297926,0.8861770901430959
men,3,0,2,0.0,0.6666666666666666,0.0,1.063412508171715
without,104,2,92,0.019230769230769232,0.8846153846153846,0.11914450340180344,1.4110665973816987
hats,3,2,0,0.6666666666666666,0.0,4.130342784595852,0.0
arrived,45,6,35,0.13333333333333333,0.7777777777777778,0.8260685569191705,1.240647926200334
hour,396,14,368,0.03535353535353535,0.9292929292929293,0.21903332948614368,1.4823325871484512
good,254,94,124,0.3700787401574803,0.4881889763779528,2.2928280812126585,0.7787193957477913
know,318,48,173,0.1509433962264151,0.5440251572327044,0.9351719512292496,0.8677847354420126
suicide,6,0,0,0.0,0.0,0.0,0.0
second,48,8,26,0.16666666666666666,0.5416666666666666,1.032585696148963,0.8640226628895183
leading,8,0,2,0.0,0.25,0.0,0.3987796905643931
cause,34,0,24,0.0,0.7058823529411765,0.0,1.1259661851229923
death,12,0,4,0.0,0.3333333333333333,0.0,0.5317062540858575
among,11,2,1,0.18181818181818182,0.09090909090909091,1.126457123071596,0.14501079656887023
teens,6,0,0,0.0,0.0,0.0,0.0
pretty,41,9,28,0.21951219512195122,0.6829268292682927,1.3599909168791222,1.0893493986149276
much,167,65,82,0.38922155688622756,0.49101796407185627,2.4114276736412914,0.7832319670965325
better,148,32,107,0.21621621621621623,0.722972972972973,1.3395706328418981,1.153227753794326
minimal,1,1,0,1.0,0.0,6.195514176893779,0.0
great,268,194,63,0.7238805970149254,0.23507462686567165,4.484812501184303,0.37497194784413085
already,152,15,111,0.09868421052631579,0.7302631578947368,0.6113994253513597,1.1648564645433588
