text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
"@CarnivalCruise looks like the north shore of Kauai. I remember it well, but haven't yet been on a cruise to Hawaii.",564935090061709312,AustinChips,2015-02-09 23:53:16+00:00,0,0,
@CarnivalCruise hawaii,564932296403615744,fanofuga,2015-02-09 23:42:10+00:00,0,0,
"@CarnivalCruise $3.6M Asbestos Verdict For Carnival Cruise Director Set Aside: Law360, Miami (... http://bit.ly/1uxdjuh #cruise #travel",564931088582066176,JacobRoot1,2015-02-09 23:37:22+00:00,0,0,
@CarnivalCruise Belize,564927380335394816,jackson_rummler,2015-02-09 23:22:37+00:00,0,0,
@CarnivalCruise you have a great team running the Splendor. My family and I had a blast! Worth every dollar ,564917968162025473,King__Diaz,2015-02-09 22:45:13+00:00,0,0,
See you guys soon.. Xoxoxoxo @CarnivalCruise ,564911080250433536,TheMaleMadonna,2015-02-09 22:17:51+00:00,0,0,
"@CarnivalCruise Craving tiramisu, big time, from Cucina del Capitano on the Sunshine! By far the best dessert on sea or LAND!.",564888449078280192,tomjcip,2015-02-09 20:47:56+00:00,0,0,
"@CarnivalCruise booking our summer family cruise! Missed you guys, see you in August! ",564853725672779776,p_chidichimo3,2015-02-09 18:29:57+00:00,0,0,
@CarnivalCruise cruise fairy where art thou,564852874237444096,debbie_sizemore,2015-02-09 18:26:34+00:00,0,0,
@CarnivalCruise 11) norovirus 12) Ship dead in the water 13) no AC 14) over-priced drinks 15) League of Nations crew Stop sponsored Tweets!,564852413023404033,CaptPat48,2015-02-09 18:24:44+00:00,0,0,
"@CarnivalCruise CLIA Reports Record Cruise Passengers, 22 New Ships, in 2015: According to Cru... http://bit.ly/174d8wc #cruise #travel",564841426454736896,JacobRoot1,2015-02-09 17:41:04+00:00,0,0,
@CarnivalCruise Bombers cruise to Carnival crown: In the championship game of the annual Lake ... http://bit.ly/174d8fO #cruise #travel,564841425775243265,JacobRoot1,2015-02-09 17:41:04+00:00,0,0,
@CarnivalCruise Turns to @SamanthaBrown and #video to educate People How to Cruise http://skift.com/2015/02/06/carnival-turns-to-samantha-brown-to-teach-people-how-to-cruise/ by @skift #CXM,564793883016826881,SidonaG,2015-02-09 14:32:09+00:00,0,0,
"@CarnivalCruise passengers, welcome to #StMaarten! Now stop in to get a new look at a great price! #Fashion",564791723080286208,ShanaStMaarten,2015-02-09 14:23:34+00:00,0,0,
"@CarnivalCruise Steady Services Stocks-Carnival (CCL), Gap (GPS), Louisiana-Pacific (LPX), Sco... http://bit.ly/191ZryB #cruise #travel",564786224158625793,JacobRoot1,2015-02-09 14:01:43+00:00,0,0,
@CarnivalCruise Company Shares of Carnival Corporation Drops by -1.43%: Carnival Corporation (... http://bit.ly/1KA634C #cruise #travel,564786222669635586,JacobRoot1,2015-02-09 14:01:43+00:00,0,0,
@CarnivalCruise,564631987579658240,Joseph457Joseph,2015-02-09 03:48:50+00:00,0,0,
@CarnivalCruise I'm ready for another cruise,564620181570199552,glavaris,2015-02-09 03:01:56+00:00,0,0,
Everyday on a @CarnivalCruise is perfect! #carnivalcruise Can't wait to plan our next cruise #familytravel,564614989508784129,BusyMomofTwins1,2015-02-09 02:41:18+00:00,0,0,
@CarnivalCruise head sails into Sydney. #cruising #carnivalcruise http://bit.ly/1zmGCeA,564585863628066818,karryontravel,2015-02-09 00:45:34+00:00,0,0,
@CarnivalCruise @carnivalfreedom @curacao,564577345496186880,Smith4tx,2015-02-09 00:11:43+00:00,0,0,
@CarnivalCruise Thursday is fun day on the Victory for me. Cruise #18 :),564573148377804802,kkkated,2015-02-08 23:55:02+00:00,0,0,
