text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
@CruiseNorwegian you don't even know the whole story...why wouldn't you contact me first? #backwards,564933140062674944,lauri_dl_mc,2015-02-09 23:45:31+00:00,0,0,
"@CruiseNorwegian Wow, I don't mean to be rude but your selfie is blocking my view.",564931207150845952,roomandservice,2015-02-09 23:37:50+00:00,0,0,
@CruiseNorwegian’s Norwegian’s Freestyle Choice Plus gives you more options. NOW – 2/28/15.http://partners.ncl.com/destroot/norwegian/files/download/pieces/50611/social/FreestyleChoicePlusShare.html,564897979195490304,CatalinaRodri40,2015-02-09 21:25:48+00:00,0,0,
@CruiseNorwegian was told by numerous reps all diff explan of guaranteed minisuite lge balcony!All r misinformed n gave wrong info!,564891543304433664,Allisonj0808,2015-02-09 21:00:13+00:00,0,0,
@CruiseNorwegian’s Norwegian’s Freestyle Choice Plus gives you more options. NOW – 2/28/15.http://partners.ncl.com/destroot/norwegian/files/download/pieces/50611/social/FreestyleChoicePlusShare.html,564882239356272640,jkayirving,2015-02-09 20:23:15+00:00,0,0,
"@CruiseNorwegian @Pharrell - I LOVE this HAPPY video by Pharrell, you will too!!",564875052039278592,CruisesrtheBest,2015-02-09 19:54:41+00:00,0,2,
@CruiseNorwegian Nuevo informe de CONAE! RT por favor! Gracias!! NO PERDAMOS TIEMPO! Contacto @ElTunante2,564851760460996608,NlidaLassalle,2015-02-09 18:22:08+00:00,2,0,
"@CruiseNorwegian, off we go on #Norwegian Sky!",564835370920341508,BROOKLYNSBERNIE,2015-02-09 17:17:01+00:00,1,0,
"@CruiseNorwegian We always looking, need some soon !!!",564828453262749697,3RiversTravel,2015-02-09 16:49:31+00:00,0,0,
"@CruiseNorwegian thanks for responding, but that was of no help. I'm already booked for May.",564823999440748544,getmeoutofny,2015-02-09 16:31:50+00:00,0,0,
@CruiseNorwegian doing a new wine tasting room with Mondavi wines on the Escape. Sign me up!,564821207384866817,jacquigiff,2015-02-09 16:20:44+00:00,0,0,
@CruiseNorwegian ups it looks great http://www.scout4apps.com,564806274445885440,scout4apps,2015-02-09 15:21:24+00:00,0,0,
@CruiseNorwegian intrested in Southampton overnight 27th October to see your new ship,564803645435555841,mattiem1976,2015-02-09 15:10:57+00:00,0,0,
