text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
@Ryanair Landed 50 mins ago from Nice. Still waiting on baggage. Any update?,571820378118606848,Jennywren1892,2015-02-28 23:52:56+00:00,0,0,
@Ryanair can I bring in my hand luggage belgian chocolate (pralines) from bruxelles to rome? Thank u! Have a nice day.,571797180316553216,Cdimakeup,2015-02-28 22:20:45+00:00,0,0,
@Ryanair Do you allow Trunkis on as hand luggage?,571791762898984960,MelBeighton,2015-02-28 21:59:14+00:00,0,0,
@Ryanair I would like to ask if there will be flights Malta-Kraków-Malta winter schedule 2015/16 as they are not yet on timetable thanks,571791425458864128,JoannaNiestrzeb,2015-02-28 21:57:53+00:00,0,0,
@Ryanair good ,571787605676826625,CarlosTkd_,2015-02-28 21:42:43+00:00,0,0,
"@Ryanair ""Find car details"" at http://www.ryanair.com/en-GB/airport-transfer/parking/STN/ isn't working.",571785527319523328,theworkeruk,2015-02-28 21:34:27+00:00,0,0,
@Ryanair £4.50 for 8 chips proper bargain ha ha #ryanair good flight thou staff were spot on,571782922715467776,grumetwhite,2015-02-28 21:24:06+00:00,0,0,
"@Ryanair Bloomberg going down market, I don't believe it, using a low service budget airline. Bloomberg no way. ",571780822849732608,Bexitcockup,2015-02-28 21:15:45+00:00,0,0,
@Ryanair i would if your shit website and app worked. How can you charge people for your incompetence.,571775431403311104,PiarasL,2015-02-28 20:54:20+00:00,1,5,
@Ryanair http://news.sky.com/story/1436032/first-time-buyers-get-20-percent-discount-on-homes in Ireland we get crippled with 20% deposit,571762462380429313,robpaul2501,2015-02-28 20:02:48+00:00,0,0,
@Ryanair done it X2 flights booked!!,571759288047292416,M4xterian,2015-02-28 19:50:11+00:00,0,0,
@Ryanair good night :),571756561040863232,kmeacham363,2015-02-28 19:39:21+00:00,0,0,
"@Ryanair Hi, how much is it to bring a set of Golf Clubs to Portugal, return?",571756208861925376,Corkygalway,2015-02-28 19:37:57+00:00,0,0,
@Ryanair Ah Palma,571749621799755776,Con_Keppel,2015-02-28 19:11:47+00:00,0,0,
@Ryanair Where is that?,571749514127790080,Con_Keppel,2015-02-28 19:11:21+00:00,0,0,
"@Ryanair yes, But the form is the same: it is for flight cancelled or delayed but not travelling",571747355583782912,valeria_ragusa1,2015-02-28 19:02:46+00:00,0,0,
@Ryanair So why are you abandoning Cork? The friday evening flight to Liverpool is how I go home at weekends.,571743010226114561,_davelv,2015-02-28 18:45:30+00:00,0,0,
"@Ryanair porque no en vez de un luz, poneis una pegatina de no fumar( ya que siempre esta encendida). Ahí lo dejo",571741299826675712,El1as_sa,2015-02-28 18:38:42+00:00,0,0,
@Ryanair no way...because the form is for cancellation not for delay,571740413188542464,valeria_ragusa1,2015-02-28 18:35:11+00:00,0,0,
@Ryanair #day3 any cheltenham tickets floating about #please #worthashot #gigginstown,571736372748410880,FJC_180,2015-02-28 18:19:08+00:00,1,0,
@Ryanair Did Ireland not win the Triple Crown at Cardiff Arms Park? I was there and remember it well!!,571735230798811138,Gregport1Mc,2015-02-28 18:14:36+00:00,0,0,
@Ryanair Wish you would sort out the prices to Faro for next week!!! ,571733935551602690,aggie_loo,2015-02-28 18:09:27+00:00,0,0,
@Ryanair @scottishautism well done Ryanair! We fly with our son and Service dog Oscar @mycaninecompani and always get great assistance ,571732842746671104,Delganylady,2015-02-28 18:05:06+00:00,1,1,
@Ryanair your airplane went to Bristol instead of malaga. Where is the exceptional circumstance?,571732701507661824,valeria_ragusa1,2015-02-28 18:04:32+00:00,0,0,
@Ryanair when you going to look at more flights to Reus airport,571729772889436162,Richgans,2015-02-28 17:52:54+00:00,0,1,
"@Ryanair y don't u launch Newfoundland? it's smth like 3200 km from Dublin, well within ur Boeing's range",571726252404572160,F_nd_O,2015-02-28 17:38:55+00:00,0,0,
"Really? ""@Ryanair: @MichelleCon That is not possible I'm afraid. It can only be changed to any flight from the UK to Ireland. IK”",571725435626790912,Seanog1982,2015-02-28 17:35:40+00:00,0,0,
@Ryanair Dub to Stan/gatwick/luton. In Dublin need to get back to Lon tomorrow.,571723882962522112,MichelleCon,2015-02-28 17:29:30+00:00,0,0,
@Ryanair i know this. It is the return leg that i wish to change.,571722830385176576,MichelleCon,2015-02-28 17:25:19+00:00,0,0,
