text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates,tweet_sentiment,tweet_sentiment_GAH,tweet_sentiment_OKL,DM_Score,GH_Score,OL_score,sum,airline_sentiment,Contested
@RoyalCaribbean Liberty of the Seas #cruise #travel #cruising #ttot,5.65E+17,eCruiseGuide,2015-02-09 22:20:31+00:00,0,2,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean Brilliance! We've cruised RCI often but this will be our first time on her. So excited. :),5.65E+17,lisah,2015-02-09 22:02:03+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Wanted to give a huge shoutout to Matica on the Independence while waiting for our surveys. She totally made our cruise! :),5.65E+17,Pensive_Shadows,2015-02-09 22:01:21+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Sail away on Independence will be celebration for us #valentinesdayatsea,5.65E+17,ken_halpern,2015-02-09 21:59:28+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean recognized us with their highest honor - Chairman's Award. Thanks @RoyalCaribbean! http://tinyurl.com/k7qb8th #LoyaltoRoyal,5.65E+17,WTH_Inc,2015-02-09 21:56:46+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
"@RoyalCaribbean Traveling w my new fiancé at end of month, but disappointed u don't offer engagement packages.",5.65E+17,68PonyCB,2015-02-09 21:53:55+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean Looking forward to doing a great show tonight on an amazing ship QUANTUM of the SEAS #comedymusic,5.65E+17,johnjosephcomic,2015-02-09 21:50:57+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean - Valentine's Day Sale ---&gt; http://sdozier.cruisesinc.com/travel/promotion/royal-caribbean-cruises.do #ValentinesDay #sweetheartweek #Romantic #Getaway #FamilyTravel #OBC,5.65E+17,SLATEvacations,2015-02-09 21:50:49+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
"@RoyalCaribbean Actually, we are! Dinner at Izumi's Saturday night. Can't wait!",5.65E+17,lisah,2015-02-09 21:49:57+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean Couple more weeks and its on!!!,5.65E+17,BJLaVallis,2015-02-09 21:39:28+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean can you confirm that Oasis 3 will be named Harmony of the Seas as Captain Trym on Oasis announced today,5.65E+17,kchrenos,2015-02-09 20:12:49+00:00,0,1,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean we will see...there is only that tiny matter of time and money lol,5.65E+17,davidtrolfe,2015-02-09 19:51:19+00:00,0,1,,neutral,neutral,neutral,0,0,0,0,neutral,
"@RoyalCaribbean I tried and they're no help. Your system won't accept my reservation for a dinner. Told to re-do it, but time is gone! Ugh!",5.65E+17,ChrisArnold33,2015-02-09 19:40:57+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean enough with the snow already!! I'd rather be cruising! #ratherbecruising,5.65E+17,Roe__Boat,2015-02-09 19:32:37+00:00,0,0,,positive,negative,positive,1,-1,1,1,neutral,contested
@RoyalCaribbean Nuevo informe de CONAE! RT por favor! Gracias!! NO PERDAMOS TIEMPO! Contacto @ElTunante2,5.65E+17,NlidaLassalle,2015-02-09 18:29:03+00:00,2,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean What's the timeline on email support? You sent me an automated reply 5 days ago saying you'll get to it when you get to it.,5.65E+17,TheMasterplan79,2015-02-09 07:42:18+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,5.65E+17,balauja,2015-02-09 01:37:18+00:00,2,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean thanks for your help with my grandma when she got real sick. We will definitely cruise with you again!,5.65E+17,c_chim,2015-02-08 23:55:43+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,5.65E+17,ClauCerfoglio,2015-02-08 22:34:11+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@RoyalCaribbean thank you,5.65E+17,Babychan,2015-02-08 21:37:49+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean best company,5.65E+17,tonyclark1265,2015-02-08 21:10:24+00:00,0,1,,positive,positive,positive,1,1,1,3,positive,
@RoyalCaribbean I had entered all my CC information to pay and was then timed out I suspect .,5.65E+17,Ivyprofessor,2015-02-08 20:39:50+00:00,0,0,,neutral,negative,negative,0,-1,-1,-2,negative,contested
@RoyalCaribbean And the connecting reservations couldn't be added for my sisters cabin either and she had the same problem .,5.65E+17,Ivyprofessor,2015-02-08 20:38:57+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
