,0,1,2,3,4
0,131,14,97,10,74
1,111,8,80,7,72
2,174,19,109,10,62
3,225,33,146,14,64
4,368,58,236,15,64
5,477,67,313,14,65
6,621,102,395,16,63
7,776,131,475,16,61
8,926,158,556,17,60
9,1013,179,617,17,60
10,962,180,543,18,56
11,986,154,572,15,58
12,824,142,485,17,58
13,900,150,560,16,62
14,927,142,585,15,63
15,788,128,499,16,63
16,734,119,463,16,63
17,754,142,451,18,59
18,751,131,477,17,63
19,675,91,482,13,71
20,602,99,389,16,64
21,430,62,291,14,67
22,292,34,215,11,73
23,193,20,142,10,73
