text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
"@ThomsonHolidays booked anniversary trip 6 months ago, if I'd have booked today it'd been 500 quid cheaper. Is there anything you can do?",571801601867968512,Crunchbunchfit,2015-02-28 22:38:20+00:00,0,0,
@ThomsonHolidays Rhodes,571784726425550850,porkiedee,2015-02-28 21:31:16+00:00,0,0,
@ThomsonHolidays do you only reply to happy customers?? Still no response to our emails or tweets @kshelley81,571775951387942912,jvas1878,2015-02-28 20:56:24+00:00,3,3,
@ThomsonHolidays 5 weeks until Condesa de la Bahia! ,571768544234496000,LouiseUsher,2015-02-28 20:26:58+00:00,0,0,
@ThomsonHolidays SORRY Thomson you still ain't made me smile. Can't even deal with a complaint properly some guy called Craig blahblah,571760495969083393,ChrisD265,2015-02-28 19:54:59+00:00,1,1,
"@ThomsonHolidays bad service, false info, not impressed or a happy customer. #karamboa #capeverde #dissapointed",571759691489001472,VIX2703,2015-02-28 19:51:47+00:00,1,2,
@ThomsonHolidays Cyprus!,571758331544674304,Timharvey32Lisa,2015-02-28 19:46:23+00:00,0,0,
@ThomsonHolidays supporting captivity of dolphins and whales is destroying their lives #OpSeaWorld https://twitter.com/hot_poppy2412/status/539066893815255041/photo/1,571757995366998017,ujajura,2015-02-28 19:45:03+00:00,0,1,
@ThomsonHolidays goor nitnt |&gt;,571756873730420736,kmeacham363,2015-02-28 19:40:36+00:00,0,0,
@ThomsonHolidays Good night :),571755723467698176,rmeacham363,2015-02-28 19:36:01+00:00,0,0,
"@ThomsonHolidays hard booking a singles holiday with you, put 2 in its fine, put 1 in and your weirdly sold out??",571754809012965376,Jjooliew,2015-02-28 19:32:23+00:00,0,0,
@ThomsonHolidays in Tenerife,571750992720633856,karenpoole123,2015-02-28 19:17:13+00:00,0,0,
@ThomsonHolidays Hi! Just got an email for my holiday in May - to select seats. The website will not accept my booking details?! Help!,571743704861581314,IamNevadaGirl,2015-02-28 18:48:16+00:00,0,0,
@ThomsonHolidays Corfu! For Kavos nightlife!,571739837713272832,nadinemcqueen,2015-02-28 18:32:54+00:00,0,1,
@ThomsonHolidays in Mexico.... Oh wait I am ,571738620639510528,mellorjoe,2015-02-28 18:28:04+00:00,0,0,
@ThomsonHolidays having a few drinks while band is playing. Having a great time.,571737516916670465,Graham_Hem,2015-02-28 18:23:41+00:00,0,1,
"@ThomsonHolidays no, a bit out of my price range at the moment, we haven't had a honeymoon yet, so hopefully one day :-)",571735639441481728,elley777,2015-02-28 18:16:13+00:00,0,0,
"@ThomsonHolidays nope, it's on my #bucketlist need to save up though, as want a tour not just a beach holiday.",571735040524197889,silverangel22,2015-02-28 18:13:50+00:00,0,0,
@ThomsonHolidays please contact me now your customer service is shocking!!!,571734828162412544,clairegilbey,2015-02-28 18:13:00+00:00,3,1,
@ThomsonHolidays. Playa Taurito,571733761571856388,p19plu,2015-02-28 18:08:45+00:00,0,0,
@ThomsonHolidays Thailand,571732240260079616,topcatchar,2015-02-28 18:02:43+00:00,0,0,
@ThomsonHolidays Morecambe,571732042838360064,ScarthCruddle,2015-02-28 18:01:55+00:00,0,0,
"@ThomsonHolidays Punta Cana, Dominican Republic :-)",571730590694838273,allan_s1,2015-02-28 17:56:09+00:00,0,0,
@ThomsonHolidays Crete ?,571728184334540800,ChaniaAirport,2015-02-28 17:46:35+00:00,0,1,
@ThomsonHolidays skiathos,571727682049851392,worksopdave,2015-02-28 17:44:36+00:00,0,1,
@ThomsonHolidays Burntisland,571727580618997760,keith11724802,2015-02-28 17:44:12+00:00,0,0,
@ThomsonHolidays Egypt in 3 weeks.,571727539380600832,1952mot,2015-02-28 17:44:02+00:00,0,0,
@ThomsonHolidays I'd love to feel the sand between my toes on the beach in __southport___________,571727426725797888,philmanutd66,2015-02-28 17:43:35+00:00,0,0,
"@ThomsonHolidays Clearwater, Florida!",571727024936632320,kevster1983,2015-02-28 17:41:59+00:00,0,0,
