text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
"@Amtrak please update the status of train 179 leaving from Boston at 6:45pm. No idea if it has yet left, is delayed, or if it is cancelled.",564936575902314497,imjenkincaid,2015-02-09 23:59:10+00:00,0,0,
@Amtrak this luggage was sitting ina mud puddle for 3 days developing mildew(checked bag service) #421 out of chicago,564934069272997888,frankfoj,2015-02-09 23:49:12+00:00,0,0,
@Amtrak when will updates be provided for trains departing Boston area Tues am! Crazy day but no info on website. Thx,564931705988194304,Cmtalcott,2015-02-09 23:39:49+00:00,0,0,
@Amtrak #476 went from boarding to cancelled to a 1hr delay. Now we're sitting in NH bc the doors are broken. Really? #10milesfromhome,564931156593086464,Kat_Bagley,2015-02-09 23:37:38+00:00,0,0,
@Amtrak @Amtrak Coast Starliner Train http://instagram.com/p/y5hH2KEOOk/,564927442360754176,_Deacon_,2015-02-09 23:22:52+00:00,0,0,
"@Amtrak sorry no, I thought the skeleton remains in the seats with everyone just wearing t-shirts might prompt him into action",564925422048002048,ahaskmearse,2015-02-09 23:14:51+00:00,0,0,
@Amtrak why does your website show 2173 left Boston at 5:47 when it hasn't?,564923403971624961,MassHoosier,2015-02-09 23:06:49+00:00,0,0,
@Amtrak with @MBTA closed tomorrow will train 171 from south station be cancelled?,564922696606437376,AlexGilmore88,2015-02-09 23:04:01+00:00,0,0,
@Amtrak any ETA on Acela #2163 to arrive in Wilmington en route to DC? It had said 5:43 pm but no new update,564921307633295360,jenrocksfashion,2015-02-09 22:58:30+00:00,0,0,
@Amtrak will you be running trains into BOS tomorrow? I was not sure since the @MBTA is shutting down.,564919803086135297,ssmallidge,2015-02-09 22:52:31+00:00,0,0,
@Amtrak are you guys planning on running normal schedule Boston to PVD tomorrow in light of the mbta shutdown?,564919421698076672,ashmarie716,2015-02-09 22:51:00+00:00,0,0,
@Amtrak any chance you can turn down the heating on the keystone to Harrisburg jaysus its roasting,564917719498502145,ahaskmearse,2015-02-09 22:44:14+00:00,0,0,
@Amtrak it's great that you blogged the link to the STB website. It would be useful if you would provide guidance on how to submit.,564916433986269184,mustangthz,2015-02-09 22:39:08+00:00,0,0,
@Amtrak no status of 2175. No agent at ticket counter at BBY. What's the deal?,564915673101377536,dotnella,2015-02-09 22:36:06+00:00,0,0,
@Amtrak @reed27 there are no status updates on your site. What is status of train 179?,564909334480822272,iladeshmukh,2015-02-09 22:10:55+00:00,0,0,
"@Amtrak from SAN -&gt; SOL same price as all day compass card for @GoNCTD &amp; @sdmts. Higher level service, but can't do it everyday.",564904587207794688,SeanWalcott,2015-02-09 21:52:03+00:00,0,0,
@amtrak @AmtrakNEC - How are trains from BOS to NYP running the remainder of the evening? @MBTA is shutting down soon. Any effect on you?,564904422925672448,reed27,2015-02-09 21:51:24+00:00,0,0,
@Amtrak needs quiet cars. Not even business class is safe from cell phones.,564902349609517058,sarahhoerner,2015-02-09 21:43:10+00:00,0,0,
"@Amtrak how does one get a window seat in coach,Thank You",564900835545870336,bbtampa,2015-02-09 21:37:09+00:00,0,0,
@Amtrak How about 653?,564895414810206208,davidkli,2015-02-09 21:15:36+00:00,0,0,
@Amtrak I am trying to get an updated departure status for train 2173 leaving BOS. No sources show any updated information. Please help!,564895327757418497,rippersid,2015-02-09 21:15:16+00:00,0,0,
@Amtrak @amtrak I'm filing a complaint. This is not okay.,564893727584317440,HK80sBaby,2015-02-09 21:08:54+00:00,0,0,
@Amtrak is train 177 northeast regional 5:35 departure from Boston to Providence running on time?,564892948425605120,Tibbs_303,2015-02-09 21:05:48+00:00,0,0,
@Amtrak Our Northeast Regional 93 is late getting into Philly and looks like we will miss our connection to Keystone 649. What should i do?,564891979377430528,benbeachy5,2015-02-09 21:01:57+00:00,0,0,
@Amtrak @Amtrak_CA your service is shamefully poor. Your conductors are racist misogynists and I'm not okay with the mistreatment I received,564891860762509312,HK80sBaby,2015-02-09 21:01:29+00:00,0,0,
@Amtrak What is the status of southbound train No. 129 out of New York Penn today?,564888089441878018,davidkli,2015-02-09 20:46:30+00:00,0,0,
@Amtrak OK Thank you.,564886718890147841,RudysWifey74,2015-02-09 20:41:03+00:00,0,0,
@Amtrak So will I have a way to get to Hartford when this train finally starts moving?,564885949243736064,ashcroach,2015-02-09 20:38:00+00:00,0,0,
@Amtrak did the 55 Vermonter leave Springfield? It's my connection to Hartford and I am currently on the stopped 449 that came from Boston.,564885014505332738,ashcroach,2015-02-09 20:34:17+00:00,1,0,
@Amtrak Passenger trying to get to NYC.,564883877920272384,daverod,2015-02-09 20:29:46+00:00,0,0,
@Amtrak I have a question about what station I would need to go to. Can you help me??,564881928860753921,RudysWifey74,2015-02-09 20:22:01+00:00,0,0,
"@Amtrak, any updates on 493? It's nearly 4 hrs late at this point.",564877986592481280,daverod,2015-02-09 20:06:21+00:00,0,0,
@Amtrak. Is 2171 on time?,564868083979124739,tkharms,2015-02-09 19:27:00+00:00,0,0,
@Amtrak How and when will I know if there is a weather-related delay or cancellation for Empire 281 (NYC-&gt;SYR) tomorrow?,564867929742016512,DanKlamm,2015-02-09 19:26:23+00:00,0,0,
@Amtrak what are the prices ?,564867173974175744,Motaw618,2015-02-09 19:23:23+00:00,0,0,
@Amtrak @CarolineArnett Caroline beat me to it. What is up???,564865978740142083,FlyingYogini,2015-02-09 19:18:38+00:00,0,0,
@Amtrak Thank you! 56 Vermonter has been in New Haven for over an hour,564865573583355905,CarolineArnett,2015-02-09 19:17:02+00:00,1,1,
@Amtrak any details on a pair of trains that might be disabled on the tracks in the Hartford area? Possible delays?,564865264362483712,rrooney_WFSB,2015-02-09 19:15:48+00:00,0,0,
@Amtrak is Springfield to New Haven Shuttle #493 broken en route? App says it's been 5 minutes from Hartford for the past hour.,564853132241674242,NickAddamo,2015-02-09 18:27:35+00:00,0,0,
@Amtrak I am in my drawing studio today remembering my great #Amtrak trip on Texas Eagle &amp; California Zephyr in Oct. Views were spectacular.,564848158883074048,CustomTrains,2015-02-09 18:07:50+00:00,0,1,
"@Amtrak I'm coming from Upstate New York to go to East Rutherford, NJ. Which train should I take to get there?? Thanks",564845917749411840,RudysWifey74,2015-02-09 17:58:55+00:00,0,0,
@Amtrak Hey @FactSetCareers / @FactSet check out what Amtrak tweeted! Notice anything familiar on-screen?,564836804776714240,CraigularB,2015-02-09 17:22:43+00:00,0,2,
@Amtrak Is the beer included? I feel envious of it. :),564836651344461824,pashiri1gou,2015-02-09 17:22:06+00:00,0,0,
@Amtrak and now they're boarding 2165 for Washington before any others?,564834948428070912,wylieconlon,2015-02-09 17:15:20+00:00,0,0,
"@Amtrak With 3 trains now stuck in BOS due to switching issues, any plan on how to catch up? Push the 2 acelas out first?",564832315839639552,phiguru,2015-02-09 17:04:52+00:00,0,0,
@Amtrak @djtanno Are the switch problems affecting train 173 as well?,564831476349689856,wylieconlon,2015-02-09 17:01:32+00:00,0,0,
"@Amtrak The observation car is the ""jewel"" of the #train! Best way to see the beauty of #America #nature &amp; share the joy of #travel others!",564829537561632769,CustomTrains,2015-02-09 16:53:50+00:00,0,0,
@Amtrak any chance of service stopping for the day out of Boston?,564829344598880256,djtanno,2015-02-09 16:53:04+00:00,0,0,
"@Amtrak cancels some Empire Service between upstate NY, NYC http://wnyt.com/article/stories/S3701592.shtml?cat=300",564827930254385152,discoveralbany,2015-02-09 16:47:27+00:00,0,0,
@Amtrak is really not playing nice with us today.,564823135401553920,WangHalen,2015-02-09 16:28:24+00:00,0,0,
@Amtrak any update on Amtrak Acela 2163? Supposed to leave Back Bay Boston at 11:15 am today but no info here at station.,564822966433640448,djtanno,2015-02-09 16:27:43+00:00,0,0,
@Amtrak yes was not working 10-15 minutes ago,564818189117169664,btsweens,2015-02-09 16:08:44+00:00,0,0,
@Amtrak your 800 #is not working,564809425290948609,btsweens,2015-02-09 15:33:55+00:00,0,0,
@Amtrak is train 449 running today out of Boston? Suppose to catch the train back to Roc today?,564806549571665920,cdalberth30,2015-02-09 15:22:29+00:00,0,0,
@Amtrak @ericbreese appreciate the diligent social media response!,564806269488607232,mattmfm,2015-02-09 15:21:22+00:00,0,1,
@Amtrak when will the Authors Residency Program open up for applicants again?,564806248512884736,BooksByBrandiP,2015-02-09 15:21:17+00:00,0,0,
"@Amtrak Delayed trains, no refunds, customer service agents that yell at you over the phone. Awesome. ",564804447956893696,Blue6678,2015-02-09 15:14:08+00:00,0,0,
@Amtrak That makes sense! Have y’all ever thought about using different systems? Do different systems exist?,564802352537174017,ericbreese,2015-02-09 15:05:49+00:00,0,0,
"@Amtrak fyi, the 8am Acela north left 45 min late. I'm on train 2185 from DC and we departed 40 min late. No text alert, btw",564799120188383232,jenrocksfashion,2015-02-09 14:52:58+00:00,0,0,
@Amtrak me too!!,564790810680782848,FlyingYogini,2015-02-09 14:19:57+00:00,0,0,
@Amtrak Yeah. Eventually. Forgive me for not asking to be transferred to Internet Support. :-|,564790328595857408,sup3rmark,2015-02-09 14:18:02+00:00,0,0,
"@Amtrak I just want to mention how horrible that was. 25 min on hold, had to then go through the whole upgrade process again.",564787821865885696,sup3rmark,2015-02-09 14:08:04+00:00,0,0,
@Amtrak Thx! On my way,564785248064770048,FlyingYogini,2015-02-09 13:57:50+00:00,0,1,
@Amtrak Er... Still on hold. Not sure if my upgrade was applied. This is an excellent experience all around. Grade A customer support.,564784718856859648,sup3rmark,2015-02-09 13:55:44+00:00,0,1,
"@Amtrak Was just put on hold because of a ""problem with the train,"" though its still listed as on-time (170 from NRO to BBY)",564782802479357952,sup3rmark,2015-02-09 13:48:07+00:00,0,0,
"@Amtrak Nope, that would be entirely too convenient :-)",564782330343346177,sup3rmark,2015-02-09 13:46:15+00:00,0,0,
@Amtrak Got through on this line despite 20+ minute waits on the Select customer hotline.,564781878658760705,sup3rmark,2015-02-09 13:44:27+00:00,0,0,
@Amtrak My train is in 5 minutes and I can't get through. Guess this upgrade is going to expire and I'm riding coach today.,564780834956529665,sup3rmark,2015-02-09 13:40:18+00:00,0,0,
@Amtrak what is status of 2104? Thanks.,564778308114874368,lorettaprencipe,2015-02-09 13:30:16+00:00,0,0,
"@Amtrak Also, bad move directing me to call. I'm already on hold (15 minutes and counting) trying to redeem a coupon.",564777187765919744,sup3rmark,2015-02-09 13:25:49+00:00,0,0,
@Amtrak The Rewards button in the app is just a link to the website where I have to log in with the account number I can't copy from the app,564777007985479682,sup3rmark,2015-02-09 13:25:06+00:00,0,0,
@Amtrak @AmtrakNEC what's happening with train 2104? No updates for over 30 min. Is it on or off?,564775941076180993,SenaFitz,2015-02-09 13:20:52+00:00,1,0,
@amtrak it'd be great if I could copy my rewards number from the android app to log into the rewards site (or view rewards from the app)! ,564773051737587712,sup3rmark,2015-02-09 13:09:23+00:00,0,2,
@Amtrak has canceled many train in and out of Rhinecliff Station today due to the winter storm. http://www.amtrak.com/service-alerts-and-notices,564772660274798592,rhineclifforg,2015-02-09 13:07:49+00:00,0,0,
@Amtrak why did you block Netflix on your wifi? #replytweet,564762418140938240,nsalinardo,2015-02-09 12:27:07+00:00,0,0,
"@Amtrak will do, thanks!",564755369545564160,sej,2015-02-09 11:59:07+00:00,0,0,
"@Amtrak Totally. With all this snow, I'm sure this is my best bet for a timely arrival in NYC today.",564754689565028352,sej,2015-02-09 11:56:25+00:00,0,0,
"@Amtrak Have a great week! Thanks for all you do providing safe, warm and enjoyable transportation to travelers. #Train #Travel",564744136004497409,InHISNameHR,2015-02-09 11:14:29+00:00,1,0,
@Amtrak any change to trains this am? Vermonter #56?,564742840316862464,FlyingYogini,2015-02-09 11:09:20+00:00,0,0,
@Amtrak thanks!,564742285712445440,Ithiel_Thomas,2015-02-09 11:07:07+00:00,0,0,
@Amtrak thanks you to! And again thank you for keeping prices cheap one day i will do my goal of cross country!,564740798764552192,Ithiel_Thomas,2015-02-09 11:01:13+00:00,0,0,
@Amtrak thank you i appreciate it!,564737973527511040,Ithiel_Thomas,2015-02-09 10:49:59+00:00,0,0,
"@Amtrak yeah, i was thinking that i need to sign up for that earlier today. One day i would love to go to CA from VA using @Amtrak!",564733585199206400,Ithiel_Thomas,2015-02-09 10:32:33+00:00,0,0,
@Amtrak is the 449 still scheduled to run today from Boston despite the weather??,564731982198743040,reinaKATTx,2015-02-09 10:26:11+00:00,0,0,
@Amtrak and will be riding again in March doing this every month!! Keep up the good work!,564730041654079488,Ithiel_Thomas,2015-02-09 10:18:28+00:00,0,0,
"@Amtrak absolutely, our society focuses more on bad experiences but never really compliments good ones. My 4th time in 2 months.",564729979955867648,Ithiel_Thomas,2015-02-09 10:18:14+00:00,0,0,
@Amtrak our trains running from Boston to New York this morning,564726733400576001,Jcgiii30,2015-02-09 10:05:20+00:00,0,1,
@Amtrak the smaller stations don't need several employees standing around. Suggestion selling isn't being done on any level. Lost$,564656647772323841,cypresswj,2015-02-09 05:26:50+00:00,0,0,
"@Amtrak I must say, I see ways u can bring in more revenue. Lowering heat on trains and selling blankets with logo.",564656610778570752,cypresswj,2015-02-09 05:26:41+00:00,0,0,
@Amtrak fingers crossed it stays that way. You're so helpful!! Thx,564642004089319424,FlyingYogini,2015-02-09 04:28:38+00:00,0,0,
@Amtrak any status change on #56 Vermonter from BWI tomorrow ?,564639366509641728,FlyingYogini,2015-02-09 04:18:10+00:00,0,0,
"@Amtrak Yall Threw My Bag Which Had a Couple Personal Packs Of Beedies, I'll Be Waiting For My Reimbursement Check Thank You",564633637367590914,buck20st,2015-02-09 03:55:24+00:00,0,0,
@Amtrak That's 1-800-USA-RAIL for those who are 'blonde'.,564626955061194752,Gorman_Chambers,2015-02-09 03:28:51+00:00,0,0,
@Amtrak dude really,564620591312150528,Benjee37,2015-02-09 03:03:33+00:00,0,0,
@Amtrak I did file a formal complaint,564620339242893312,cypresswj,2015-02-09 03:02:33+00:00,0,0,
@Amtrak didn't know that there were two cars to eat food. Amtrak needs to place menus throughout each car.,564619904566165505,cypresswj,2015-02-09 03:00:50+00:00,0,0,
@Amtrak 705 Chicago bound train. Let me say Dominique gave awesome customer service. Amtrak should promote more of food options.,564619345838768128,cypresswj,2015-02-09 02:58:36+00:00,1,0,
@Amtrak the link to submit comments to the STB doesn't go anywhere useful: http://www.stb.dot.gov/stb/efilings.nsf,564608181075079169,djpiebob,2015-02-09 02:14:14+00:00,0,0,
@Amtrak Train Delay Attribution reduced delays by 40% in the UK - tied to a contractual performance regime - that will solve it,564605580137234434,Mgcm2020,2015-02-09 02:03:54+00:00,0,0,
"@Amtrak @e_russell Or, shut down all the railroads and redirect valuable federal dollars to airlines and airports like EWR, IAH, and ORD.",564600330386554880,FakeUnitedJeff,2015-02-09 01:43:03+00:00,0,0,
"“@Amtrak: An important message from #Amtrak regarding on-time performance: http://bit.ly/1zx5dC4"" (way to pass the buck)",564598992089403392,hlfraser18,2015-02-09 01:37:44+00:00,0,0,
@Amtrak Take responsibility for the product you deliver to your customers and stop passing the buck. Lots more you can do.,564597454289793024,DaJazziestBelle,2015-02-09 01:31:37+00:00,1,1,
@Amtrak me too Thx!!!,564595105416216576,FlyingYogini,2015-02-09 01:22:17+00:00,0,0,
@Amtrak Thank you. I was delayed 3 hrs 36 min in NC 3 weeks ago because of a freight train breaking down ahead of my train.,564594888529174528,kwanette,2015-02-09 01:21:25+00:00,0,0,
@Amtrak Thx. I'm going bwi to hartford tomorrow fingers crossed,564593824840687616,FlyingYogini,2015-02-09 01:17:12+00:00,0,0,
@Amtrak Your announcers at NY Penn sound like real voice over artists. #appreciate,564592393996218368,eeisenman,2015-02-09 01:11:31+00:00,0,0,
@Amtrak will there be train cancellations/ delays due to snow in Northeast?,564587591706484736,FlyingYogini,2015-02-09 00:52:26+00:00,0,0,
@Amtrak 7:15 train out of Boston tomorrow morning to NYC. Will the trains be running tomorrow morning?,564584169763000320,bjettelax,2015-02-09 00:38:50+00:00,0,0,
@Amtrak are there two seats available,564580816488255488,ewasser01,2015-02-09 00:25:30+00:00,0,0,
@Amtrak is train 67 from Boston South Bay to ny-penn traveling tonight?,564579728620023810,ewasser01,2015-02-09 00:21:11+00:00,0,0,
@Amtrak that was too easy... :),564575744614236160,MichaThom,2015-02-09 00:05:21+00:00,0,0,
@Amtrak employees now saying body heat is keeping it so hot. Thats just insulting to our intelligence. Dont blame us 4 your faulty systems!,564568048406106112,halloaaryn,2015-02-08 23:34:46+00:00,0,0,
@Amtrak thank you!! #awesomecustomerservice,564561779347701761,ItaiBoublil,2015-02-08 23:09:51+00:00,0,0,
@Amtrak Bus to LA Union Station from Bakersfield delayed by 1.5 hours. Supervisor refuses to release. Missed connection. This sucks!,564559168011390976,Agr8tguy,2015-02-08 22:59:29+00:00,0,0,
Never thought about this but @Amtrak can be a great solution when flight gets cancelled thanks to @united 4 #customerservice @newarkairport.,564557248345944064,philxzCN,2015-02-08 22:51:51+00:00,1,0,
@Amtrak Thanks! Fingers crossed that status doesn't change :-),564552144343531521,sup3rmark,2015-02-08 22:31:34+00:00,0,0,
"@amtrak hey, how's train 170 looking for tomorrow morning with all that snow hitting new england?",564548373525831681,sup3rmark,2015-02-08 22:16:35+00:00,0,0,
@Amtrak hey there. Will you have trains going from NYC to BOS tomorrow? Is there a way to check it online? Thank you! You guys are awesome!!,564545971355668482,ItaiBoublil,2015-02-08 22:07:02+00:00,0,0,
@Amtrak this is how hot it is on this train. These were just sitting next to me. RIP chocolate covered peanuts,564545684482043906,Laura_925,2015-02-08 22:05:54+00:00,0,0,
@Amtrak I'm sorry I meant the 449 :( lol,564543722646683648,reinaKATTx,2015-02-08 21:58:06+00:00,0,0,
@Amtrak needs more 9 pm slots.,564541848123736066,sunchick116,2015-02-08 21:50:39+00:00,0,0,
@Amtrak will you be running tomorrow as scheduled the 448 Lakeshore limited?,564541138674393088,reinaKATTx,2015-02-08 21:47:50+00:00,0,0,
"@Amtrak 304. STL-CHI. Hence the @Nelly_Mo reference. And I have a blast wherever I go, just a little too want on here to have a dance party",564538160076447744,Laura_925,2015-02-08 21:36:00+00:00,0,0,
