text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
@POferries ok cheers - do you have a discount code that would work with a cat on board?,564809259175903232,SamGooch,2015-02-09 15:33:15+00:00,0,0,
@POferries OK Thanks - about to book Dover-Calais with another company £70 rtn (6th March - 9th March both depart at midday) can u match it?,564797433205760000,SamGooch,2015-02-09 14:46:16+00:00,0,0,
@POferries your website appears to be down...,564793937597304832,SamGooch,2015-02-09 14:32:22+00:00,0,0,
@POferries ps I think the new website is horrendous to navigate !!,564405459210498048,PhilipBez,2015-02-08 12:48:42+00:00,0,0,
@POferries are all club class cabins on minicruise trips outside? It doesn't say and I want to ensure it has a window,564405379531292672,PhilipBez,2015-02-08 12:48:23+00:00,0,0,
@POferries would it be possible to get a ferry ticket from Dover? @JackCooper666 and I are doing @oxfordjailbreak and need help! Please help,564133260838850561,RantingLydia,2015-02-07 18:47:05+00:00,1,2,
@POferries useless service on the way back from Calais.. Currently sat waiting to board the ferry after our booked one which is now 30 late.,564095820107358209,thelightman93,2015-02-07 16:18:18+00:00,0,0,
@POferries We'll work for passage!,564068921356349440,Peter_n_Sayer,2015-02-07 14:31:25+00:00,1,0,
"@POferries we'd be so grateful, and the money is going to four great causes! #OUJailbreak2015",564060072951955456,Peter_n_Sayer,2015-02-07 13:56:15+00:00,0,0,
@POferries Hi! We're raising money for charity via #OUJailbreak2015. Trying to get out of the country. In Hull... Can you help us?,564059904827490305,Peter_n_Sayer,2015-02-07 13:55:35+00:00,0,0,
"@POferries Are you still recruiting for assistant stewards on the Dover to Calais route? If you are, how do I go about applying?",563744796532277248,ppbarnes84,2015-02-06 17:03:28+00:00,0,0,
@POferries i choose to use the coach service from York to Hull. I need directions and the departure time in York! Thank you.,563738840293457921,RenatoSimionato,2015-02-06 16:39:47+00:00,0,0,
@POferries- despite winning a prize for free ferry crossing the customer service to try and book it has been painful to say the least.,563647860244504576,hellie0507,2015-02-06 10:38:16+00:00,0,1,
@POferries Thank you! Sailed to France &amp; back today on Spirit of France in the Club Lounge...excellent service. Pics &amp; Blog to follow soon!,563065114040225792,JWRTalks,2015-02-04 20:02:39+00:00,0,0,
@POferries @Irish_Ferries we need you in #dunlaoghaire as @StenaLineIE will not resume its services for summer time #help #irish @DLHarbour,562953694229327872,WillEireann,2015-02-04 12:39:54+00:00,0,0,
@POferries Thanks to the catering team from Dover to Calais on 1/2/15 1pm for making 80 rolls for our school party. #delicious #savedtheday,562853947543912450,Ccppffcc,2015-02-04 06:03:33+00:00,0,0,
"@POferries 21st of feb, I need to get as far away from Cardiff as possible without using any money for @tyhafan charity! Can you help?",562599156204974080,birchyboy98,2015-02-03 13:11:06+00:00,0,0,
@POferries no thoughts on the cancelling of all services to Rotterdam? Just leave passengers to it? No help? No 15 mins buffer on coaches?,562269758977212416,TheOnlyPaulV,2015-02-02 15:22:11+00:00,0,0,
@POferries cannot get to Rotterdam central station due to national dutch rail closing down. Now due in 17:10. Will coaches allow for this?,562254246142566400,TheOnlyPaulV,2015-02-02 14:20:33+00:00,0,0,
@POferries why have your prices risen so much since you've launched the new website?? Looking at hull/zeebrugge in July - now £100 more!!! ,561985999342174208,Rachael0101,2015-02-01 20:34:38+00:00,0,0,
@POferries is the larne to cairnryan sailing ok this morning?,561741634589966336,Waynefowler9,2015-02-01 04:23:36+00:00,0,0,
