,text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates,tweet_sentiment
0,@RoyalCaribbean Liberty of the Seas #cruise #travel #cruising #ttot,564911751855374337,eCruiseGuide,2015-02-09 22:20:31+00:00,0,2,,neutral
1,@RoyalCaribbean Brilliance! We've cruised RCI often but this will be our first time on her. So excited. :),564907104365195264,lisah,2015-02-09 22:02:03+00:00,0,0,,positive
2,@RoyalCaribbean Wanted to give a huge shoutout to Matica on the Independence while waiting for our surveys. She totally made our cruise! :),564906925326757889,Pensive_Shadows,2015-02-09 22:01:21+00:00,0,0,,positive
3,@RoyalCaribbean Sail away on Independence will be celebration for us #valentinesdayatsea,564906450880057344,ken_halpern,2015-02-09 21:59:28+00:00,0,0,,positive
4,@RoyalCaribbean recognized us with their highest honor - Chairman's Award. Thanks @RoyalCaribbean! http://tinyurl.com/k7qb8th #LoyaltoRoyal,564905772824264704,WTH_Inc,2015-02-09 21:56:46+00:00,0,0,,positive
5,"@RoyalCaribbean Traveling w my new fiancé at end of month, but disappointed u don't offer engagement packages.",564905055619280898,68PonyCB,2015-02-09 21:53:55+00:00,0,0,,negative
6,@RoyalCaribbean Looking forward to doing a great show tonight on an amazing ship QUANTUM of the SEAS #comedymusic,564904310861885440,johnjosephcomic,2015-02-09 21:50:57+00:00,0,0,,positive
7,@RoyalCaribbean - Valentine's Day Sale ---&gt; http://sdozier.cruisesinc.com/travel/promotion/royal-caribbean-cruises.do #ValentinesDay #sweetheartweek #Romantic #Getaway #FamilyTravel #OBC,564904278150885379,SLATEvacations,2015-02-09 21:50:49+00:00,0,0,,positive
8,"@RoyalCaribbean Actually, we are! Dinner at Izumi's Saturday night. Can't wait!",564904057199132672,lisah,2015-02-09 21:49:57+00:00,0,1,,positive
9,@RoyalCaribbean Couple more weeks and its on!!!,564901417815908355,BJLaVallis,2015-02-09 21:39:28+00:00,0,0,,positive
10,@RoyalCaribbean can you confirm that Oasis 3 will be named Harmony of the Seas as Captain Trym on Oasis announced today,564879614812880896,kchrenos,2015-02-09 20:12:49+00:00,0,1,,neutral
11,@RoyalCaribbean we will see...there is only that tiny matter of time and money lol,564874204902727680,davidtrolfe,2015-02-09 19:51:19+00:00,0,1,,neutral
12,"@RoyalCaribbean I tried and they're no help. Your system won't accept my reservation for a dinner. Told to re-do it, but time is gone! Ugh!",564871595102330881,ChrisArnold33,2015-02-09 19:40:57+00:00,0,0,,negative
13,@RoyalCaribbean enough with the snow already!! I'd rather be cruising! #ratherbecruising,564869497136640001,Roe__Boat,2015-02-09 19:32:37+00:00,0,0,,positive
14,@RoyalCaribbean Nuevo informe de CONAE! RT por favor! Gracias!! NO PERDAMOS TIEMPO! Contacto @ElTunante2,564853500891656194,NlidaLassalle,2015-02-09 18:29:03+00:00,2,0,,negative
15,@RoyalCaribbean What's the timeline on email support? You sent me an automated reply 5 days ago saying you'll get to it when you get to it.,564690739691786240,TheMasterplan79,2015-02-09 07:42:18+00:00,0,0,,negative
16,@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,564598883209457664,balauja,2015-02-09 01:37:18+00:00,2,0,,neutral
17,@RoyalCaribbean thanks for your help with my grandma when she got real sick. We will definitely cruise with you again!,564573318997876736,c_chim,2015-02-08 23:55:43+00:00,0,0,,positive
18,@RoyalCaribbean RT por favor! Gracias!! #VamosPorLosTunantesSigamosPorTodos Contacto @ElTunante2,564552800424951808,ClauCerfoglio,2015-02-08 22:34:11+00:00,0,0,,neutral
19,@RoyalCaribbean thank you,564538615611789313,Babychan,2015-02-08 21:37:49+00:00,0,0,,positive
20,@RoyalCaribbean best company,564531719059947521,tonyclark1265,2015-02-08 21:10:24+00:00,0,1,,positive
21,@RoyalCaribbean I had entered all my CC information to pay and was then timed out I suspect .,564524023888228353,Ivyprofessor,2015-02-08 20:39:50+00:00,0,0,,negative
22,@RoyalCaribbean And the connecting reservations couldn't be added for my sisters cabin either and she had the same problem .,564523803339157504,Ivyprofessor,2015-02-08 20:38:57+00:00,0,0,,negative
